date,room,checked
2026-06-01,529,true
2026-06-02,530,true
2026-06-03,533,true
2026-06-04,527,true
2026-06-05,528,true
2026-06-06,525,true
2026-06-07,526,true
2026-06-08,531,true
2026-06-09,532,false
2026-06-10,534,true
2026-06-11,535,true
2026-06-12,536,true
2026-06-13,540,true
2026-06-14,541,true
2026-06-15,542,true
2026-06-16,543,true
2026-06-17,539,true
2026-06-18,529,false
2026-06-19,530,true
2026-06-20,533,true
2026-06-21,527,true
2026-06-22,528,true
2026-06-23,525,true
2026-06-24,526,true
2026-06-25,531,true
2026-06-26,532,true
2026-06-27,534,true
2026-06-28,535,true
2026-06-29,536,false
2026-06-30,540,true

